step,pitch,roll,gyroX,gyroY,gyroZ,accelX,accelY,accelZ
69,-0.04643761,0.038212531,-0.034507,0.080206,0.000933,0.390388,0.320933,8.394544
70,-0.047657093,0.037766172,-0.03544,0.078074,0.003864,0.402363,0.318538,8.430469
71,-0.049430821,0.042660505,-0.035307,0.081138,0.000666,0.416733,0.359253,8.416099
72,-0.043731016,0.04207745,-0.036372,0.082071,-0.000133,0.371228,0.356858,8.475974
73,-0.049540786,0.043896486,-0.033441,0.078474,0.002531,0.416733,0.368833,8.396938
74,-0.04301273,0.038801749,-0.03544,0.079273,0.002132,0.364043,0.328118,8.452024
75,-0.039717692,0.041453528,-0.03464,0.080739,-0.001865,0.335303,0.349673,8.430469
76,-0.040037994,0.031319119,-0.036239,0.082337,-0.000133,0.340093,0.265847,8.485554
77,-0.045541692,0.039112956,-0.037039,0.080605,0.000266,0.387993,0.332908,8.50711
78,-0.049572009,0.042497242,-0.035573,0.079939,0.000666,0.416733,0.356858,8.392148
79,-0.048186005,0.0379601,-0.037039,0.080739,0.001466,0.404758,0.318538,8.387359
80,-0.06065437,0.044626067,-0.03957,0.079273,0.002132,0.505349,0.371228,8.313113
81,-0.048706661,0.03410007,-0.03544,0.081671,0.001599,0.414338,0.289797,8.495134
82,-0.045549288,0.042479397,-0.038637,0.081005,0.000666,0.385598,0.359253,8.452024
83,-0.044695287,0.036471905,-0.03917,0.081272,0.000933,0.376018,0.306563,8.401729
84,-0.046564134,0.037514428,-0.034507,0.080739,0.000666,0.392783,0.316143,8.423284
85,-0.055238315,0.037632021,-0.035706,0.077941,0.000933,0.464634,0.316143,8.396938
86,-0.04593798,0.037570019,-0.037571,0.07874,-0.000933,0.392783,0.320933,8.538244
87,-0.046932547,0.036789789,-0.040636,0.081272,-0.001199,0.397573,0.311353,8.459209
88,-0.050921747,0.035028352,-0.040503,0.079406,0.000533,0.428708,0.294587,8.406519
89,-0.053141019,0.037072527,-0.036905,0.080739,0.003331,0.450264,0.313748,8.459209
90,-0.050309049,0.042160743,-0.037571,0.07834,-0.0004,0.426313,0.356858,8.459209
91,-0.045457201,0.043524531,-0.037305,0.076875,-0.000266,0.385598,0.368833,8.468789
92,-0.044639183,0.034780829,-0.038104,0.079806,0.002132,0.378413,0.294587,8.466394
93,-0.044137487,0.032413297,-0.038238,0.079939,0.000133,0.368833,0.270637,8.346643
94,-0.047618122,0.036665332,-0.035973,0.076608,0.003864,0.404758,0.311353,8.487949
95,-0.055820122,0.030509631,-0.037305,0.081272,0.001599,0.469424,0.256267,8.396938
96,-0.042845069,0.037521239,-0.036772,0.080339,0.001865,0.364043,0.318538,8.485554
97,-0.044312374,0.04236441,-0.037971,0.081138,-0.0004,0.373623,0.356858,8.418493
98,-0.058525847,0.038686688,-0.032642,0.079806,-0.000266,0.486189,0.320933,8.291557
99,-0.049583718,0.042753157,-0.037571,0.079007,0.002798,0.414338,0.356858,8.341853
100,-0.044037179,0.037535757,-0.034107,0.07954,-0.000133,0.371228,0.316143,8.418493
•½‹Ï,-0.047299827,0.038440683,-0.0367934,0.08030829,0.00066347,0.39872278,0.32371096,8.4187571
•ªŽU,2.01E-05,1.85E-05,5.01E-06,3.52E-05,2.60E-06,0.001368464,0.001266623,0.003095776
